co6270 do3199 hu9124 mo5463 ra832 
co6631 do4876 hu9160 mo6284 ra2433 
co1151 do4376 hu2907 mo6026 ra2304 
co8423 do713 hu5048 mo2979 ra3446 
co2488 do8049 hu4754 mo5751 ra2899 
co8181 do3064 hu3082 mo100 ra3447 
co2764 do630 hu8923 mo4779 ra8214 
co8449 do4124 hu13321 mo7322 ra2874 
co7281 do2081 hu4042 mo1436 ra3825 
co9897 do10989 hu9850 mo9327 ra10989 
co649 do6513 hu5149 mo3151 ra5580 
co1118 do3770 hu3605 mo2629 ra3890 
co6050 do5527 hu9398 mo1435 ra1878 
co669 do8090 hu2635 mo227 ra6317 
co8841 do11823 hu7955 mo12544 ra10355 
co475 do3232 hu1253 mo17080 ra704 
co7912 do10591 hu2430 mo6501 ra8737 
co6614 do2155 hu7939 mo1389 ra506 
co11940 do11552 hu10685 mo9630 ra4912 
co3602 do4929 hu5448 mo2839 ra6007 
co4747 do7994 hu823 mo3294 ra7475 
co4664 do9333 hu8063 mo6297 ra6669 
co3385 do6878 hu7143 mo3729 ra3272 
co1836 do660 hu175 mo4158 ra157 
co10044 do8322 hu5225 mo6462 ra3056 
co4493 do5356 hu5164 mo6004 ra3156 
co4651 do556 hu5395 mo193 ra3351 
co6140 do7526 hu10894 mo13135 ra10940 
co11466 do10490 hu5475 mo8643 ra9053 
co6633 do6386 hu8981 mo8388 ra416 
co8994 do8591 hu9774 mo10169 ra9775 
co8094 do6936 hu9670 mo4607 ra8307 
co210 do578 hu3940 mo105 ra1380 
co5499 do4844 hu6029 mo3321 ra9558 
co5467 do2317 hu5966 mo4807 ra2024 
co5691 do3623 hu6652 mo171 ra10786 
co1636 do7445 hu3463 mo10021 ra3210 
co6915 do6296 hu5631 mo1181 ra3773 
co528 do6391 hu5909 mo6008 ra3554 
co9763 do9153 hu2642 mo7194 ra4803 
co11386 do2915 hu11819 mo3615 ra630 
co5833 do3425 hu4900 mo3865 ra9255 
co3382 do980 hu6369 mo142 ra2495 
co13437 do13571 hu17565 mo13651 ra13248 
co1477 do5494 hu6690 mo3275 ra2747 
co13210 do10403 hu12856 mo9920 ra10490 
co8311 do4144 hu8306 mo8608 ra2746 
co5934 do6298 hu9409 mo11739 ra10754 
co12996 do8581 hu10149 mo3276 ra1425 
co3071 do6969 hu6633 mo3078 ra3701 
co5194 do7644 hu13000 mo4393 ra10397 
co3606 do4251 hu6446 mo9461 ra7986 
co10026 do5619 hu4086 mo4481 ra1343 
co183 do1415 hu1753 mo17132 ra504 
co8630 do11841 hu10283 mo12807 ra2820 
co2131 do2194 hu8071 mo5839 ra7285 
co5077 do4620 hu3381 mo1783 ra5846 
co427 do8332 hu2188 mo1342 ra5155 
co1761 do4625 hu3171 mo6440 ra2073 
co4530 do3250 hu3688 mo3666 ra1389 
co9549 do2090 hu6770 mo5058 ra5071 
co5823 do7970 hu7383 mo10012 ra8643 
co10628 do9488 hu7680 mo5607 ra9289 
co525 do943 hu1599 mo3195 ra1569 
co2999 do2741 hu4496 mo2171 ra1196 
co4192 do7565 hu3734 mo28 ra600 
co1726 do3139 hu2663 mo2952 ra1195 
co4136 do6759 hu7870 mo17163 ra3226 
co4647 do4984 hu2875 mo9638 ra2829 
co12282 do8244 hu12826 mo10431 ra3062 
co2433 do8120 hu2876 mo9889 ra5965 
co5318 do2870 hu1515 mo2370 ra8145 
co2261 do5791 hu8867 mo9322 ra5964 
co3204 do651 hu4211 mo6001 ra2077 
co2432 do6681 hu10570 mo13022 ra2828 
co9300 do1098 hu9884 mo7601 ra1558 
co5848 do2259 hu5350 mo1031 ra9868 
co5058 do1760 hu13114 mo2562 ra8876 
co5200 do8302 hu10034 mo6171 ra350 
co39 do9019 hu7544 mo5491 ra8835 
co3311 do6746 hu3565 mo17040 ra2030 
co8172 do342 hu980 mo8456 ra1118 
co581 do5531 hu3953 mo3970 ra136 
co2354 do456 hu6510 mo17280 ra8648 
co2598 do4314 hu2609 mo1358 ra5377 
co11837 do9617 hu8865 mo8585 ra10079 
co9009 do73 hu4526 mo17098 ra1924 
co6253 do2028 hu4688 mo6147 ra5358 
co10695 do6727 hu7041 mo2780 ra5878 
co4186 do1793 hu6585 mo6673 ra6032 
co6639 do8700 hu12497 mo6271 ra9125 
co663 do130 hu882 mo241 ra7583 
co2022 do2893 hu11648 mo3926 ra4210 
co11858 do5785 hu3464 mo5488 ra12101 
co6424 do269 hu3036 mo17257 ra7282 
co6698 do3927 hu5420 mo479 ra6031 
co2423 do2326 hu666 mo7428 ra15648 
co2346 do1307 hu6119 mo207 ra993 
co3086 do414 hu5034 mo2004 ra7787 
co119 do6491 hu7256 mo5119 ra1476 
co4228 do2682 hu5574 mo3896 ra270 
co14746 do6020 hu1744 mo4043 ra2130 
co1204 do1973 hu4410 mo4234 ra2069 
co14763 do1319 hu10775 mo6741 ra2870 
co88 do304 hu13 mo1630 ra1228 
co3746 do4025 hu2902 mo9881 ra9270 
co9036 do4026 hu6711 mo9795 ra5929 
co14759 do3154 hu1377 mo5498 ra4283 
co3414 do1186 hu1619 mo119 ra503 
co7711 do8321 hu9224 mo5210 ra2529 
co3904 do8618 hu4862 mo3139 ra5853 
co5609 do8575 hu4362 mo3879 ra1923 
co8552 do9588 hu6179 mo6811 ra8882 
co1898 do722 hu5145 mo4134 ra7276 
co6147 do8349 hu6902 mo4791 ra4681 
co9991 do8277 hu6613 mo1359 ra3202 
co8891 do4928 hu11231 mo11071 ra7277 
co11296 do3294 hu7381 mo1259 ra2116 
co8253 do12235 hu9536 mo11904 ra7700 
co6939 do11858 hu2995 mo17460 ra10592 
co5212 do4725 hu8809 mo3040 ra8058 
co579 do6127 hu3665 mo7038 ra15591 
co3494 do1135 hu4015 mo8440 ra8059 
co5611 do4724 hu3103 mo3331 ra3803 
co7978 do2670 hu2279 mo6729 ra6941 
co7336 do6133 hu7239 mo7098 ra1739 
co6979 do7081 hu4167 mo1287 ra5055 
co9553 do9014 hu9735 mo5761 ra9913 
co7535 do4178 hu4891 mo844 ra5483 
co682 do3177 hu3360 mo2350 ra3192 
co7591 do4029 hu4359 mo12086 ra5074 
co5134 do501 hu1420 mo7489 ra7536 
co5337 do6471 hu975 mo3943 ra4438 
co8664 do5189 hu1857 mo8922 ra1710 
co10335 do5373 hu9555 mo11695 ra10066 
co7573 do1431 hu8679 mo7709 ra3465 
co7462 do10221 hu9525 mo9547 ra7641 
co9436 do6619 hu7782 mo1764 ra2957 
co8379 do865 hu3739 mo6109 ra2839 
co5625 do10387 hu10490 mo6826 ra3208 
co6293 do7606 hu6843 mo8524 ra1048 
co2854 do7329 hu4824 mo1822 ra6404 
co4288 do2030 hu2520 mo2414 ra2380 
co5235 do7000 hu11103 mo9829 ra8700 
co9497 do12637 hu10517 mo7525 ra7760 
co14766 do5908 hu11442 mo17221 ra5429 
co7228 do2591 hu8580 mo3058 ra149 
co6184 do9724 hu550 mo6567 ra3495 
co5138 do390 hu4520 mo3584 ra4097 
co3488 do1397 hu2277 mo2142 ra1620 
co6716 do5331 hu5137 mo5946 ra10621 
co922 do2083 hu10026 mo9550 ra322 
co5774 do5377 hu847 mo4157 ra1612 
co240 do13 hu1179 mo1464 ra1081 
co9717 do3568 hu12150 mo5212 ra8399 
co6966 do3569 hu678 mo4759 ra3501 
co9434 do8864 hu9255 mo17350 ra7176 
co5454 do8425 hu5002 mo13719 ra120 
co8579 do4272 hu12731 mo10504 ra4030 
co597 do7087 hu7754 mo6783 ra8671 
co2426 do4638 hu2839 mo3155 ra3960 
co6486 do4427 hu6831 mo3626 ra8380 
co623 do4189 hu3437 mo1039 ra3148 
co2500 do8234 hu14076 mo17166 ra8303 
co10527 do8587 hu13250 mo4049 ra9059 
co3526 do7005 hu6177 mo10032 ra7783 
co14768 do10132 hu8282 mo5964 ra6468 
co1970 do1710 hu69 mo2392 ra1577 
co4301 do2461 hu3481 mo4501 ra1029 
co8862 do7220 hu8341 mo7751 ra6089 
co5525 do2907 hu6579 mo5853 ra5119 
co10351 do9830 hu9866 mo6135 ra8834 
co2768 do1861 hu5044 mo990 ra890 
co5068 do7684 hu7774 mo10624 ra12087 
co572 do6583 hu7755 mo7996 ra6060 
co3268 do9701 hu1075 mo693 ra4822 
co10541 do6869 hu5985 mo7082 ra10325 
co1621 do5093 hu9016 mo6340 ra409 
co2200 do4149 hu5018 mo8622 ra7561 
co7734 do4150 hu12464 mo5206 ra393 
co4581 do8628 hu7094 mo7210 ra583 
co7771 do8088 hu5469 mo9876 ra5250 
co9992 do13653 hu5319 mo13657 ra14094 
co10262 do4340 hu5318 mo7641 ra6157 
co1691 do9415 hu12107 mo17188 ra5804 
co3388 do1889 hu1413 mo9983 ra7389 
co10074 do4332 hu3529 mo5024 ra6577 
co4580 do5036 hu1079 mo567 ra3317 
co2360 do469 hu5768 mo2275 ra7732 
co7081 do3344 hu3748 mo8382 ra5156 
co8903 do8822 hu3451 mo3317 ra3432 
co6299 do491 hu9672 mo5989 ra6175 
co4904 do5158 hu612 mo6081 ra1280 
co5412 do9131 hu6356 mo5874 ra5875 
co6285 do11550 hu13080 mo17329 ra9240 
co2787 do2132 hu2154 mo3603 ra2489 
co4867 do177 hu3165 mo1724 ra3239 
co196 do3207 hu1674 mo1204 ra1250 
co97 do128 hu4772 mo1687 ra5063 
