INTERACTOR_1	INTERACTOR_2
co2509	co948
co712	co299
co2510	co681
co1201	co2511
co2512	co2513
co671	co522
co2514	co2515
co2516	co2517
co1681	co2518
co2519	co2520
co2521	co2522
co2523	co1195
co1453	co2524
co1843	co43
co957	co1645
co11	co2525
co2526	co2527
co300	co2528
co2529	co2530
co2531	co1201
co2532	co2533
co2534	co446
co724	co1924
co2535	co2520
co782	co2536
co2537	co165
co685	co432
co1541	co2538
co493	co2539
co2233	co2421
co2540	co1934
co2541	co2542
co2543	co183
co1257	co119
co1608	co2544
co2545	co2546
co2547	co2548
co1612	co209
co2549	co509
co2550	co2551
co2552	co1276
co2130	co2553
co2554	co1283
co2555	co2556
co2557	co2558
co1293	co2559
co2560	co2147
co1171	co2454
co2561	co2562
co1230	co703
co2563	co2564
co2565	co2566
co47	co1541
co2567	co2568
co2569	co2570
co2571	co2572
co2573	co827
co2574	co2575
co2437	co2576
co2577	co46
co1746	co2578
co2579	co1278
co2410	co38
co31	co2580
co2581	co2582
co2583	co2584
co2585	co141
co2043	co1276
co2586	co1559
co2205	co2587
co2382	co1468
co931	co98
co2588	co1711
co982	co2589
co2156	co581
co618	co104
co2590	co2491
co2591	co304
co2592	co2593
co2594	co2595
co2596	co112
co433	co1206
co2597	co2598
co2599	co2600
co1830	co987
co2601	co2602
co2603	co310
co144	co429
co2604	co2605
co963	co1137
co1705	co321
co2606	co231
co295	co2155
co2607	co251
co2521	co2608
co2520	co2087
co2599	co104
co2609	co2610
co632	co1049
co2611	co408
co2612	co1010
co2613	co2614
co1302	co547
co2615	co2616
co1992	co403
co1780	co2073
co890	co1008
co2413	co736
co2617	co2618
co1831	co1452
co2454	co2619
co2620	co2621
co1215	co2596
co2622	co2623
co2624	co1324
co2625	co587
co1475	co2626
co2226	co2476
co2627	co2628
co2629	co2630
co2431	co2631
co2157	co2632
co892	co1436
co2633	co2634
co1147	co1437
co2635	co2636
co639	co2637
co2638	co2639
co2640	co2641
co324	co2642
co956	co2643
co2197	co1899
co2644	co82
co2645	co2646
co1303	co116
co2647	co2648
co1749	co2649
co710	co1537
co1526	co516
co2650	co2651
co2652	co2
co2653	co701
co2654	co2655
co2656	co686
co1781	co1441
co2657	co2658
co2659	co2660
co1830	co216
co2661	co1180
co2662	co2663
co1824	co970
co2664	co663
co1741	co2665
co2666	co2667
co117	co11
co121	co2361
co2668	co2669
co25	co2670
co1876	co615
co2671	co2672
co660	co439
co4	co2673
co2674	co2227
co2675	co697
co2676	co2479
co2677	co2375
co2678	co522
co2679	co1028
co2680	co1871
co2681	co2082
co150	co2682
co2683	co980
co1272	co2684
co402	co898
co436	co229
co2685	co2686
co38	co2687
co2688	co24
co2689	co2690
co16	co1557
co1230	co1393
co27	co2691
co2692	co987
co1090	co240
co1660	co2020
co2693	co2694
co2383	co2186
co2456	co2695
co2696	co2648
