hu2898	rt50	mo5325
hu14491	rt6151	mo12535
hu2623	rt3124	mo2700
hu6375	mo16316
mo4649	rt9203	hu4950
hu7977	mo2638
mo9727	rt13938	hu15237
mo6991	rt3054	hu10556
hu16759	mo2322
rt14964	hu14546	mo15732
rt8015	hu12692	mo11825
rt147	hu3635	mo772
rt15390	hu12786	mo13585
rt15037	hu12632	mo15892
rt11468	hu17916	mo15742
rt13772	mo16823
hu2171	mo14940
hu11672	mo9845
rt10889	hu8668	mo3105
hu4837	rt11531	mo3408
rt3703	hu4078	mo6111
hu17323	mo9936
hu2955	mo11539
mo3536	rt2528	hu6212
hu9461	rt332	mo3149
hu13025	rt8755	mo5193
mo9622	rt7816	hu10001
hu17595	mo14843
rt5220	hu8020	mo9079
hu321	mo15787
hu392	rt2677	mo5623
hu10387	rt8419	mo5415
rt14651	hu14640	mo12423
hu8107	mo10372	rt6581
hu14809	mo13954
mo9060	rt12508	hu5211
hu8418	rt7826	mo4146
hu6596	rt3750	mo4642
mo6833	rt8457	hu11482
hu17767	rt13375	mo7599
hu12347	mo15053
rt11193	hu10759	mo11931
hu15457	mo13670
hu5802	rt2635	mo11666
mo17085	hu17170	rt12195
hu11450	rt5869	mo9754
mo16235	rt3950	hu14309
rt174	hu10277	mo3182
rt3799	hu1239	mo5485
hu13826	rt9918	mo13441
rt5958	mo8741
mo14612	rt12680	hu17132
hu3577	mo16164
rt12470	mo16672
rt13156	hu15344	mo14982
mo1789	rt2651	hu1891
mo12747	rt12893	hu14550
hu16560	rt569	mo329
mo3106	rt2708	hu200
mo8108	rt2733	hu7811
rt1843	hu7331
hu17269	mo11078	rt14758
hu863	rt3535	mo8921
hu9092	rt9633	mo15924
rt1896	hu5240	mo4121
hu17396	mo16795
hu15256	rt14038	mo15612
mo10600	rt11808	hu16607
mo1230	rt5712	hu3581
mo1530	rt4700	hu1979
hu14172	mo10327
hu6021	mo11477
hu8223	rt9580	mo5559
hu170	rt10308	mo10584
rt8817	hu8012	mo12218
mo14372	rt6297	hu8449
rt3682	hu6401	mo8151
mo8413	rt2195	hu2468
hu15071	rt13311	mo9987
hu2000	rt1139	mo4475
rt13267	hu4021	mo5744
hu3720	mo14913
mo10966	rt11782	hu15518
rt10970	hu13712	mo11779
rt7282	hu3036	mo5912
hu13976	mo15285
mo7678	rt8034	hu13062
mo4805	rt6087	hu17122
rt9689	hu15297	mo12886
mo11258	rt11229	hu6083
mo17444	hu12567
hu15136	mo15303
mo6883	rt14271	hu16979
rt3579	hu2505	mo430
rt2800	hu2297	mo4012
hu6558	mo5149
hu148	rt9368	mo12036
rt14243	mo15994
mo3192	hu5995	rt10781
rt14924	mo8706
hu4619	rt13919	mo2717
rt13856	hu15468
mo2889	rt5240	hu9179
hu10719	rt9989	mo7297
mo7735	rt12403	hu16507
hu16184	mo7378
rt6454	hu13387	mo9469
mo2218	rt15109	hu5436
mo9459	rt7546	hu14983
hu7154	rt2732	mo719
rt2109	hu6396	mo1767
hu8113	rt11972	mo6352
rt14614	mo10632
hu8131	rt6806	mo8441
mo12484	rt6096	hu11754
rt13117	hu13669	mo15519
hu14232	mo16791
rt2533	hu3350	mo5857
hu9171	rt1622
rt3714	hu624	mo1494
rt12805	hu1633	mo1430
hu11968	rt6254	mo4652
hu9454	rt5449	mo8478
mo16044	rt15343	hu16991
rt11903	hu10774	mo13582
hu11205	mo6906
rt15252	mo16011
hu4686	mo16710
hu17566	mo15201
rt3990	hu6072	mo3893
rt4345	hu1308	mo4410
hu5300	rt1539	mo1581
rt10000	hu11574	mo10369
mo7018	rt10171	hu13231
rt11027	hu13840	mo11037
rt3641	hu2384	mo3649
mo283	rt77	hu14686
rt8117	hu2124	mo1646
rt9404	hu4678	mo7628
mo6621	hu3985	rt7776
mo10104	rt4543	hu2599
mo3946	rt1563	hu1811
mo955	rt3853	hu947
hu4741	rt2494	mo2954
rt8650	mo2870	hu122
mo3830	hu5454	rt7882
hu7613	rt13164	mo11068
rt14102	mo1418
hu15602	mo16689
mo9843	rt10618	hu13979
hu17446	rt14394	mo15038
hu3244	mo1234
mo14550	rt5120	hu12622
hu4324	rt790	mo17096
rt9536	hu10813	mo14089
mo15553	rt13523	hu16500
mo10890	rt4148	hu10495
rt14285	mo13985
mo3634	rt1800	hu714
hu5148	mo4082
mo5128	rt10455	hu13777
mo11741	rt6915	hu7242
hu6958	mo15547
hu10237	rt9442
hu18053	rt13662	mo11776
rt15208	mo13257
mo3491	rt9931	hu12149
mo3684	rt1348	hu2189
rt8571	hu14967	mo13522
hu2928	rt10850	mo8242
hu718	rt498	mo8881
rt8013	hu5998	mo8192
mo14648	rt15039	hu16779
mo16940	rt14606	hu12653
hu14972	rt13033
mo3851	rt10053	hu11175
rt12781	hu11610	mo10492
mo8893	rt9069	hu16764
hu12003	rt7316	mo5902
rt13996	mo14898
mo5179	rt8694	hu429
hu12816	rt9777	mo12763
mo13104	rt13796	hu10354
rt78	hu4846	mo869
hu1622	rt9380	mo1094
mo12465	rt8461	hu9613
rt4445	hu1278	mo1496
rt9826	hu14576	mo15261
rt4051	hu3982	mo1513
mo3103	rt3469	hu3008
mo12059	rt8699	hu16040
mo12156	rt12449	hu13972
rt12421	hu14096
mo9873	hu2500	rt7094
hu15178	rt10562	mo6167
mo3414	rt7414	hu7241
hu8868	rt8662	mo7395
hu4593	rt10638	mo15260
mo10633	rt283	hu1287
hu8944	mo13342
mo3653	rt930	hu2416
rt6391	hu7262	mo10158
rt7701	hu9456	mo8026
rt12178	hu16736
hu15045	mo10831
hu15817	mo15474
mo9974	rt14256	hu15945
hu14675	mo17421
hu9692	mo7467
rt399	mo6413	hu10627
hu15046	rt14041	mo12298
mo11490	rt6835	hu14243
mo12181	rt12186	hu15913
mo9198	rt2849	hu5379
hu17013	mo14563
rt11901	hu10151	mo9029
rt2027	hu3263	mo2178
mo10379	rt15668	hu858
mo14796	hu8459
hu11649	mo12822
rt9306	hu7646	mo3054
rt15284	mo16743
rt7755	hu6455	mo9450
rt6552	mo13148
hu5295	rt6818	mo9035
mo617	rt5783	hu11853
mo3279	rt4100	hu6476
rt3418	hu1957	mo6290
hu9822	rt5310	mo2938
rt8653	hu3593	mo1836
rt13158	mo15466
mo464	rt508	hu647
mo15355	rt13165	hu12276
mo15013	rt14554	hu15650
rt5810	hu7275	mo15307
hu9031	mo17340	rt3290
hu16581	mo11151
mo13225	rt14932	hu8914
mo9111	rt2259	hu4053
rt12922	mo15580
mo16326	rt13667	hu13180
rt117	hu1396	mo6527
hu1511	rt1832	mo4647
hu14527	rt6366	mo9767
mo15712	rt14204	hu16497
rt14462	hu10165	mo5381
mo8863	rt9730	hu814
hu16363	rt14241	mo15780
hu17336	mo16873
rt1102	hu12112	mo11752
hu17053	mo16463
mo2765	rt5256	hu9348
mo2151	rt5352	hu5726
hu13258	mo6037
hu2672	rt2314	mo4921
mo8386	rt12381	hu7896
hu13664	mo11399
rt874	hu382	mo3362
mo4037	rt5386	hu2707
rt14222	mo13037
mo17298	rt9479	hu12893
hu115	rt1902	mo2159
rt14177	mo13420
mo172	rt12475	hu11225
rt4274	hu1087	mo1824
mo9580	rt12603	hu11191
hu8910	rt9342	mo5094
mo5648	rt5933	hu5541
mo15916	rt13223	hu16060
rt7706	hu7931
rt10512	hu15368	mo8189
hu3520	rt1636	mo410
rt11471	hu1923	mo11535
rt10441	hu4328	mo4898
rt11704	hu13919	mo16098
